quarter_end,year,quarter,offence,open_1yr_plus,share_of_quarter
2021-12-31,2021,Q4,Not known,519.0,0.035842541436464086
2021-12-31,2021,Q4,Public order offences,513.0,0.03542817679558011
2021-12-31,2021,Q4,Criminal damage and arson,230.0,0.015883977900552487
2021-12-31,2021,Q4,Summary non-motoring,129.0,0.008908839779005525
2021-12-31,2021,Q4,Summary motoring,74.0,0.005110497237569061
2021-12-31,2021,Q4,Other,2.0,0.00013812154696132598
2022-03-31,2022,Q1,Violence against the person,3801.0,0.24683421001363726
2022-03-31,2022,Q1,Drug offences,3207.0,0.20826027664134034
2022-03-31,2022,Q1,Miscellaneous crimes against society,1911.0,0.12409896746541983
2022-03-31,2022,Q1,Sexual offences,1848.0,0.12000779271381258
2022-03-31,2022,Q1,Theft offences,940.0,0.06104292486525099
2022-03-31,2022,Q1,Possession of weapons,792.0,0.05143191116306254
2022-03-31,2022,Q1,Fraud offences,660.0,0.04285992596921878
2022-03-31,2022,Q1,Robbery,604.0,0.039223326190012335
2022-03-31,2022,Q1,Public order offences,584.0,0.037924540554581464
2022-03-31,2022,Q1,Not known,571.0,0.0370803298915514
2022-03-31,2022,Q1,Criminal damage and arson,242.0,0.015715306188713554
2022-03-31,2022,Q1,Summary non-motoring,137.0,0.008896681602701474
2022-03-31,2022,Q1,Summary motoring,100.0,0.006493928177154361
2022-03-31,2022,Q1,Other,2.0,0.00012987856354308721
2022-06-30,2022,Q2,Violence against the person,3965.0,0.2451920103889679
2022-06-30,2022,Q2,Drug offences,3360.0,0.20777935811019727
2022-06-30,2022,Q2,Miscellaneous crimes against society,2061.0,0.1274503741265228
2022-06-30,2022,Q2,Sexual offences,1994.0,0.12330715478325398
2022-06-30,2022,Q2,Theft offences,982.0,0.06072599097149218
2022-06-30,2022,Q2,Possession of weapons,794.0,0.049100241172469236
2022-06-30,2022,Q2,Fraud offences,669.0,0.04137035433801249
2022-06-30,2022,Q2,Not known,613.0,0.03790736503617587
2022-06-30,2022,Q2,Public order offences,608.0,0.0375981695627976
2022-06-30,2022,Q2,Robbery,589.0,0.036423226763960176
2022-06-30,2022,Q2,Criminal damage and arson,267.0,0.016511038278399604
2022-06-30,2022,Q2,Summary non-motoring,150.0,0.009275864201348093
2022-06-30,2022,Q2,Summary motoring,117.0,0.007235174077051512
2022-06-30,2022,Q2,Other,2.0,0.00012367818935130788
2022-09-30,2022,Q3,Violence against the person,4058.0,0.24010413584994972
2022-09-30,2022,Q3,Drug offences,3588.0,0.21229513046565293
2022-09-30,2022,Q3,Miscellaneous crimes against society,2202.0,0.13028814863025856
2022-09-30,2022,Q3,Sexual offences,2157.0,0.12762558428495355
2022-09-30,2022,Q3,Theft offences,1017.0,0.06017395420389326
2022-09-30,2022,Q3,Possession of weapons,794.0,0.04697946867049287
2022-09-30,2022,Q3,Fraud offences,731.0,0.043251878587065855
2022-09-30,2022,Q3,Public order offences,657.0,0.03887343944145317
2022-09-30,2022,Q3,Robbery,619.0,0.03662505177208449
2022-09-30,2022,Q3,Not known,527.0,0.0311815868883498
2022-09-30,2022,Q3,Criminal damage and arson,273.0,0.01615289036151707
2022-09-30,2022,Q3,Summary non-motoring,155.0,0.009171054967161706
2022-09-30,2022,Q3,Summary motoring,121.0,0.007159339684042364
2022-09-30,2022,Q3,Other,2.0,0.00011833619312466718
2022-12-31,2022,Q4,Violence against the person,4115.0,0.24595063056601518
2022-12-31,2022,Q4,Drug offences,3443.0,0.20578566732412887
2022-12-31,2022,Q4,Sexual offences,2234.0,0.1335245950630566
2022-12-31,2022,Q4,Miscellaneous crimes against society,2205.0,0.13179128563743947
2022-12-31,2022,Q4,Theft offences,975.0,0.05827505827505827
2022-12-31,2022,Q4,Possession of weapons,757.0,0.04524535293766063
2022-12-31,2022,Q4,Fraud offences,718.0,0.0429143506066583
2022-12-31,2022,Q4,Public order offences,630.0,0.037654653039268425
2022-12-31,2022,Q4,Robbery,593.0,0.03544318928934313
2022-12-31,2022,Q4,Not known,507.0,0.030303030303030304
2022-12-31,2022,Q4,Criminal damage and arson,271.0,0.016197477735939273
2022-12-31,2022,Q4,Summary non-motoring,153.0,0.00914470145239376
2022-12-31,2022,Q4,Summary motoring,127.0,0.007590699898392206
2022-12-31,2022,Q4,Other,3.0,0.00017930787161556393
2023-03-31,2023,Q1,Violence against the person,3980.0,0.24077434966727163
2023-03-31,2023,Q1,Drug offences,3358.0,0.20314579552329098
2023-03-31,2023,Q1,Sexual offences,2311.0,0.1398064125831821
2023-03-31,2023,Q1,Miscellaneous crimes against society,2201.0,0.13315184513006656
2023-03-31,2023,Q1,Theft offences,950.0,0.05747126436781609
2023-03-31,2023,Q1,Possession of weapons,782.0,0.04730792498487598
2023-03-31,2023,Q1,Fraud offences,691.0,0.04180278281911676
2023-03-31,2023,Q1,Public order offences,603.0,0.03647912885662432
2023-03-31,2023,Q1,Robbery,578.0,0.03496672716273442
2023-03-31,2023,Q1,Not known,505.0,0.03055051421657592
2023-03-31,2023,Q1,Criminal damage and arson,258.0,0.01560798548094374
2023-03-31,2023,Q1,Summary non-motoring,175.0,0.01058681185722928
2023-03-31,2023,Q1,Summary motoring,135.0,0.008166969147005444
2023-03-31,2023,Q1,Other,3.0,0.00018148820326678765
2023-06-30,2023,Q2,Violence against the person,4023.0,0.24339040474317866
2023-06-30,2023,Q2,Drug offences,3234.0,0.19565611954746204
2023-06-30,2023,Q2,Sexual offences,2422.0,0.14653034061346723
2023-06-30,2023,Q2,Miscellaneous crimes against society,2202.0,0.13322040050819772
2023-06-30,2023,Q2,Theft offences,912.0,0.05517575170911731
2023-06-30,2023,Q2,Possession of weapons,749.0,0.045314296085667616
2023-06-30,2023,Q2,Fraud offences,713.0,0.04313630588662351
2023-06-30,2023,Q2,Public order offences,632.0,0.038235827938774274
2023-06-30,2023,Q2,Robbery,548.0,0.033153850807671366
2023-06-30,2023,Q2,Not known,509.0,0.030794361425373586
2023-06-30,2023,Q2,Criminal damage and arson,242.0,0.01464093411579648
